Year,Month,Day,TotalPrecip,SolarHours,AvgCloud,MinTemp,AvgTemp,AvgSeaLevelPressure,AvgWindSpeed
1996,5,24,0,8.7,3.8,12.9,15.8,13.4,3.1
1996,5,25,0,12.9,0.5,12,17.9,12.2,2.4
1996,5,26,0,12.5,2.3,14.7,22.3,10.9,2.7
1996,5,27,0,12,8.8,17.2,22.2,12.8,2.5
1996,5,28,0,10.8,7,16.8,21.4,15.5,2.9
1996,5,29,0,6.1,10,18.1,21.7,17.1,2.4
1996,5,30,0,7.7,9.8,18.7,22.3,17.2,2.8
1996,5,31,0,3.7,8.8,19.2,20.8,19.1,3.5
1996,6,1,0,5.3,10,17.2,19.7,16.8,3.9
1996,6,2,0,11,4.3,15.3,23,16.4,2.9
1996,6,3,4.5,4.1,10,19.7,23.9,18.7,4.7
1996,6,4,8,3.8,9.5,16.2,20.6,17.6,5.2
1996,6,5,0,12.7,6.3,13.2,17.4,11.6,5.3
1996,6,6,0,13,1,13.3,18.9,10.8,5.3
1996,6,7,0,5.5,7.8,15.7,21.2,15.1,2.1
1996,6,8,5.5,0,10,17.7,19.6,17.8,2.5
1996,6,9,17,0,10,17.4,19.2,20,2.3
1996,6,10,13,0,10,18.6,20,21.2,2.8
1996,6,11,5,0,10,18.4,19.3,20.8,3.4
1996,6,12,0,0.7,10,17.9,19.2,18.2,2.4
1996,6,13,0,11.4,6.5,16.4,21,18.7,3.8
1996,6,14,0,1.6,10,19.1,23.2,20.8,2.6
1996,6,15,23,1.7,10,20.2,22.3,22.9,4.7
1996,6,16,0.5,0.5,9.3,20.2,23.6,22.8,2.7
1996,6,17,9.5,0.1,10,20.8,23.2,24.4,2.6
1996,6,18,28,4.7,8.3,16.5,24.6,21.2,7.9
1996,6,19,3.5,0.8,9,15.8,18.7,17.4,8.5
1996,6,20,0,4.7,9.8,17.5,20.8,19.2,3.4
1996,6,21,4,0.2,10,18.2,21.8,22.4,5.3
1996,6,22,0,4.7,9.5,20.1,22.5,21.5,1.9
1996,6,23,0,9.4,7.5,19.9,23,20.4,2.3
1996,6,24,28,0,10,19.7,21.5,22.5,3
1996,6,25,187.5,0,10,18.8,21,24.2,4.8
1996,6,26,4.5,1.4,10,18,20.1,20.6,3.8
1996,6,27,0,5,9.5,18.6,21.8,21.2,2.5
1996,6,28,1,1.6,9.5,20.1,23.4,22.7,6.9
1996,6,29,0,7.3,10,19,21.7,19.5,3
1996,6,30,0,1.5,8.3,21.6,25.5,20.8,6.7
1996,7,1,0,4.7,9.5,22.1,24.3,21.6,4
1996,7,2,0,5.8,7.8,20.2,24.6,21.7,3
1996,7,3,4.5,4.8,8,18.8,22.9,22.4,3.3
1996,7,4,1,1.1,10,17.8,19.7,19.6,3.2
1996,7,5,23.5,0.6,10,17.7,21.4,21.5,6.8
1996,7,6,0.5,6,9.8,17.5,19.8,18,5.1
1996,7,7,0,1.6,10,18.6,20.3,19.1,5.6
1996,7,8,1,0,9.8,18.9,20.8,21.5,2.6
1996,7,9,0,3.5,8.3,18.5,22.2,21.5,3.4
1996,7,10,0,1.9,10,20.1,21.9,21.8,4.6
1996,7,11,1,0.2,9.8,18,19.2,19.9,3.2
1996,7,12,0,8.6,4,17.2,20.3,18.8,2.9
1996,7,13,0,11.9,6,18.8,24.3,19.5,2.5
1996,7,14,0,6.9,8.5,22.9,26.7,26.3,2.3
1996,7,15,0,3.5,8.3,24.5,26.9,27.2,2.6
1996,7,16,0,12.5,5.8,24.5,29.3,25.6,2.4
1996,7,17,0,12.5,1.5,25.3,29.1,26.4,3.3
1996,7,18,0,13.3,1.3,24.8,28.6,26.2,3.4
1996,7,19,0,13.1,0,25,29.3,27.2,4.8
1996,7,20,0,8,7.8,23.3,27.5,26.8,3.7
1996,7,21,0,7,7.5,23.4,25.6,25.2,2.9
1996,7,22,7.5,1.9,9.5,24,27.5,26.8,2.1
1996,7,23,3,3.5,9.5,24.5,26.2,28.3,5.1
1996,7,24,0,9.9,5.5,23.2,26.6,26.3,2.9
1996,7,25,0,12.6,0.3,23.8,28.5,25.1,2.6
1996,7,26,0,11.7,0.8,25.9,29.3,27.2,2.6
1996,7,27,0,11.5,2.8,26,28.9,26.2,2.7
1996,7,28,0,10.6,7.3,25,28.8,25.7,2.7
1996,7,29,0,11.4,4.3,25,29.1,27,2.4
1996,7,30,0,7.4,6,26.2,29.8,26.8,2.7
1996,7,31,0,10.5,6.8,26.1,29.9,26,2.3
1996,8,1,0,12.2,7.8,25.9,29.1,27.2,3.1
1996,8,2,0,11,1.3,25,28,27.9,3.5
1996,8,3,0,12.8,1,24.2,28.6,27.5,2.5
1996,8,4,1.5,7.7,3.5,26.1,28.6,28.2,4.8
1996,8,5,0,11.9,3.5,22.8,26,23.3,4.2
1996,8,6,0,11.7,4.8,21.1,26,22.5,4.7
1996,8,7,0,5.8,9.3,24.1,27.7,24.8,2.8
1996,8,8,0,9.6,5.5,25.4,28.6,24.6,2.4
1996,8,9,0,8.4,5.3,25.5,27.9,25,2.5
1996,8,10,0,11.1,0.3,24.4,27.7,26.2,2.9
1996,8,11,0,11.6,1.8,24.6,27.9,26.1,2.8
1996,8,12,0,9.3,4,25.1,28.5,26.2,3.3
1996,8,13,0,11.7,5.3,25.8,29.7,25.2,3.1
1996,8,14,0,6.1,8.5,26.3,31.6,25.4,4.2
1996,8,15,53,0.8,9.5,24.9,26.3,30.8,7.9
1996,8,16,1,9,5.8,23.8,26.3,26.5,3.2
1996,8,17,0,12.5,1.8,22.1,25.9,24.1,3.5
1996,8,18,0,12.5,0.8,22.1,26,24.7,3.8
1996,8,19,0,12.4,0.5,22.3,26.2,23.4,4.3
1996,8,20,0,11.9,0.5,21.6,25.9,23.2,2.6
1996,8,21,0,8.8,5.5,23,26.8,25.2,2.5
1996,8,22,0,7.3,9,23.8,27.5,25.4,2.2
1996,8,23,6,2.4,8.3,22.5,26.8,24.5,3.6
1996,8,24,4,2.2,8.3,19.9,22.9,21.4,5.4
1996,8,25,0,7.1,7.8,18.6,23,17.8,4.9
1996,8,26,0,3.4,10,21.7,24.4,21.5,2.5
1996,8,27,29,0,10,19.1,20.6,22.7,2.7
1996,8,28,24.5,0,10,20,21.4,23.7,2.6
1996,8,29,2,0.5,10,20.6,23.6,24.3,2.1
1996,8,30,0,7.7,6.8,21,24.5,24.8,3.6
1996,8,31,0,6.1,8,23.8,26.8,27.2,3.8
1996,9,1,8,0.2,9,21.9,23.6,25.5,2.9
1996,9,2,0,5.5,7,20.8,23.3,22,4.9
1996,9,3,0,10,1.3,18.9,22.7,18.9,4.5
1996,9,4,0,6.4,6,19.1,23.6,20.5,2.4
1996,9,5,2.5,9.3,6,20.6,23.7,21.7,2.6
1996,9,6,0.5,2,10,20.5,23.6,21.1,2.6
1996,9,7,30.5,6.1,6,18.5,22.1,20.8,4.1
1996,9,8,0,9.1,4.3,16.5,22.2,17,3.5
1996,9,9,78.5,0,10,19.1,20.6,22.4,2.6
1996,9,10,1,5.3,8.5,18.7,21.9,20.8,4.2
1996,9,11,0,10.7,5.3,16.3,21.6,16.9,3.7
1996,9,12,0,9.1,4.3,18.2,23.3,19.1,3
1996,9,13,10,0,10,17,19.8,18.9,2.5
1996,9,14,2,1,8.3,16.5,20.3,20,2.5
1996,9,15,0,11.3,2,18.8,22.6,19.7,2.9
1996,9,16,0,9.3,5,18.4,23.8,19.1,2.4
1996,9,17,27.5,2.5,7.3,18.9,21.4,20.5,2.4
1996,9,18,0,6.8,3.5,18,22.3,20.1,3.2
1996,9,19,0,8.3,7.3,18.5,22.7,19.9,2.5
1996,9,20,16,0,10,19.1,21.4,21.7,3.3
