Year,Month,Day,TotalPrecip,SolarHours,AvgCloud,MinTemp,AvgTemp,vapor_pressure,AvgWindSpeed
2006,5,24,2.5,0.2,10,12.8,14.9,14.3,3
2006,5,25,0,11,3,10.8,15.7,12.6,4.4
2006,5,26,0,0,10,14.2,18.8,13.8,1.8
2006,5,27,0,6.5,9,14.8,19.6,13.3,2.3
2006,5,28,14.5,2.1,9.3,15.9,18.6,16.2,3.4
2006,5,29,0,2.2,9,15,17.4,14.5,5.1
2006,5,30,0,4.4,8.5,14.2,17.3,15.2,3
2006,5,31,0,10.6,1.3,13.7,19.7,14.3,4.1
2006,6,1,0,6.6,5.5,16.7,18.7,16.2,2.8
2006,6,2,0,8.1,10,16.3,19.1,15.8,5.9
2006,6,3,0,10.2,3,15.1,18.1,15.2,5.7
2006,6,4,0,2.7,7.5,14.9,20,16.2,3.2
2006,6,5,0,11.2,7,17.7,20.9,17.4,2.3
2006,6,6,0,6.3,7.3,17.1,18.8,16.3,2.4
2006,6,7,0,8,6.5,16.7,18.8,15.4,3
2006,6,8,0,1.2,10,16.8,21.4,17.5,2.3
2006,6,9,32.5,0.5,10,15.4,18,16.8,4.3
2006,6,10,0,6,9.8,16.6,19.7,16.8,2.9
2006,6,11,0,2.1,7.5,18.3,20.6,17.2,1.8
2006,6,12,0.5,8.6,8,17.9,21.5,18.4,3.2
2006,6,13,0,9.6,7.5,18.6,20.3,17.7,3.2
2006,6,14,0,8,6,17.1,22,17.9,3.1
2006,6,15,4,0,10,19.3,22,19,2.9
2006,6,16,0.5,4.7,8,18.5,20.3,19.8,2.6
2006,6,17,0,1.9,9.8,19.2,21.9,20.5,3.5
2006,6,18,0,5.1,8.3,20.3,22.6,19.1,3
2006,6,19,0,12.3,5.5,18.9,22,18.2,3.6
2006,6,20,0,5.7,10,19.1,23.4,16.3,1.9
2006,6,21,0,0.6,10,21.3,24,18.9,5
2006,6,22,1,0,10,20,22.1,20.8,2.2
2006,6,23,0,1.5,9.5,19.8,21.7,20.2,2.6
2006,6,24,0,8.9,7.3,19.1,21.3,18.4,3.5
2006,6,25,0,0.4,9.5,19.1,21.8,19.3,3.7
2006,6,26,5.5,0,10,19.8,22.3,21.7,2.3
2006,6,27,2,3.4,6,21.9,24,22.8,4.5
2006,6,28,0,5.9,7.8,21.3,24,22.1,4.3
2006,6,29,0,8.2,6.5,20.8,24,22.9,2.1
2006,6,30,12.5,0.1,10,22.2,25.5,23.3,3.7
2006,7,1,10,0,10,22,24.1,24.4,4.6
2006,7,2,8,0.4,10,20.8,22.9,22.2,6.7
2006,7,3,8,2.3,9,19.9,21,20.3,3.1
2006,7,4,0,9.5,9.3,19.1,21.8,17.9,2.7
2006,7,5,16.5,0,10,19.9,20.8,21,4.1
2006,7,6,2.5,0,10,20,21.1,20.9,4.8
2006,7,7,0,3.1,8.3,20.4,22.5,21.4,2.2
2006,7,8,0,6.7,9,20.8,25.2,23.8,3
2006,7,9,6,0,10,22.9,25.1,26.4,2.5
2006,7,10,0,4.9,10,23.6,27.8,25.1,2.4
2006,7,11,22.5,0.7,10,24.2,27.7,25.7,2.9
2006,7,12,19.5,0,10,24.2,25.8,28.1,2.3
2006,7,13,0,0.1,10,24.5,28.1,27.4,4
2006,7,14,0,7.7,7.3,26.3,28.6,27,4.7
2006,7,15,33,1.5,10,22.4,26.6,26.6,4.9
2006,7,16,59,0.3,10,21.7,23.2,24.7,3.1
2006,7,17,75.5,0,10,20.5,21.9,23,3.8
2006,7,18,81,0,10,19.7,20.3,21.3,3.6
2006,7,19,16.5,4.6,7.8,19.9,22.2,22.2,4
2006,7,20,0.5,3.9,8.3,20.7,23.8,22.2,4
2006,7,21,44,0,10,21.5,22.7,23.7,3.8
2006,7,22,0,7.3,9,21.9,24.7,22.7,3.2
2006,7,23,2.5,4.5,8.8,23.3,25.4,24.2,2.6
2006,7,24,62,0,10,20.5,21.6,22.9,2
2006,7,25,22.5,7.2,6.3,20.6,23.2,22.4,2.1
2006,7,26,0,7.2,8.5,21.3,25.2,23.3,2.7
2006,7,27,3,4.7,8.5,22.4,25,25.1,2.4
2006,7,28,0.5,3.6,8.3,23.2,26.6,24.8,5.1
2006,7,29,10,1.4,7.5,24,25.4,25.8,3.3
2006,7,30,0.5,8.2,6.8,23.2,25.4,24.5,3.3
2006,7,31,0,7.7,6.3,21.7,26.1,24.5,1.8
2006,8,1,0,10.5,7.3,24.8,28.7,25.5,2.6
2006,8,2,0,12.7,2.3,25,28.5,25.3,2.3
2006,8,3,0,13.1,0.5,25.2,28.2,27.4,2.4
2006,8,4,0,11.1,0,24.9,27.8,25.6,2.2
2006,8,5,0,12.4,0,23.6,27.3,25.4,3.1
2006,8,6,0,11.3,6.8,23.9,27.9,25.6,2.9
2006,8,7,0,12,6,25.1,29.2,26.2,2.4
2006,8,8,0,12.3,5.3,25.6,29.3,27.2,3.6
2006,8,9,0,11,6.3,26.4,28.4,27.9,2.6
2006,8,10,0,9.4,8.8,26.3,28.3,27.7,2.4
2006,8,11,0,12.4,5,24.2,28.5,24,2.3
2006,8,12,17.5,4.5,8.3,22.6,28.1,25.9,3.9
2006,8,13,0,8.6,5,24.9,28,25.9,2.8
2006,8,14,0,11.8,1.5,25,28.5,26.7,3
2006,8,15,0,11.9,0.8,25.4,29.1,27.4,3.5
2006,8,16,0,11.9,0.5,25.9,29,29.3,2.7
